productName,imageFilename
Cold Coffee,cold-coffee.jpg
Cold Coffee With Ice Cream,cold-coffee-with-ice-cream.jpg
Ferrero Rocher Shake,ferrero-rocher-shake.jpg
Fresh Lime Soda,fresh-lime-soda.jpg
Green Apple Mojito,green-apple-mojito.jpg
Hot Chocolate,hot-chocolate.jpg
Hot Coffee,hot-coffee.jpg
Java Chip Coffee,java-chip-coffee.jpg
Kala Khatta,kala-khatta.jpg
KitKat Shake,kitkat-shake.jpg
Kiwi Mojito,kiwi-mojito.jpg
Lotus Biscoff Shake,lotus-biscoff-shake.jpg
Masala Lemonade,masala-lemonade.jpg
Nutella Brownie Shake,nutella-brownie-shake.jpg
Nutella Shake,nutella-shake.jpg
Oreo Shake,oreo-shake.jpg
Pina Colada,pina-colada.jpg
Rasmalai Shake,rasmalai-shake.jpg
RedBull Mojito,redbull-mojito.jpg
Spicy Mango Mojito,spicy-mango-mojito.jpg
Strawberry Shake,strawberry-shake.jpg
Virgin Mojito,virgin-mojito.jpg
Watermelon Mojito,watermelon-mojito.jpg
Baby Corn Chilli,baby-corn-chilli.jpg
Barbeque Chicken,barbeque-chicken.jpg
Chicken Chilli,chicken-chilli.jpg
Chicken Fried Wanton,chicken-fried-wanton.jpg
Chicken Garlic,chicken-garlic.jpg
Chicken Lollipop,chicken-lollipop.jpg
Chicken Manchurian,chicken-manchurian.jpg
Chicken Schezwan,chicken-schezwan.jpg
Chilli Potato,chilli-potato.jpg
Crispy Chicken Chilli,crispy-chicken-chilli.jpg
French Fries,french-fries.jpg
French Fries Peri Peri,french-fries-peri-peri.jpg
Honey Potato Chilli,honey-potato-chilli.jpg
Mushroom Chilli,mushroom-chilli.jpg
Oyster Chilli Chicken,oyster-chilli-chicken.jpg
Paneer Chilli,paneer-chilli.jpg
Peri Peri Cheese Loaded Fries,peri-peri-cheese-loaded-fries.jpg
Roasted Chicken,roasted-chicken.jpg
Spring Roll,spring-roll.jpg
Spring Roll (Crispy),spring-roll-crispy.jpg
Veg Manchurian,veg-manchurian.jpg
Choco Lava,choco-lava.jpg
ChocoChip Brownie,chocochip-brownie.jpg
Nutella Brownie,nutella-brownie.jpg
Sizzling Brownie,sizzling-brownie.jpg
Cheese Corn Maggi,cheese-corn-maggi.jpg
Cheese Maggi,cheese-maggi.jpg
Chicken Egg Maggi,chicken-egg-maggi.jpg
Chicken Maggi,chicken-maggi.jpg
Chilli Garlic Maggi,chilli-garlic-maggi.jpg
Chilli Maggi,chilli-maggi.jpg
Egg Maggi,egg-maggi.jpg
Onion Capsicum Maggi,onion-capsicum-maggi.jpg
Paneer Maggi,paneer-maggi.jpg
Plain Masala Maggi,plain-masala-maggi.jpg
Special Maggi,special-maggi.jpg
Veg Cheese Maggi,veg-cheese-maggi.jpg
Veg Maggi,veg-maggi.jpg
Chicken Moburg,chicken-moburg.jpg
Paneer Moburg,paneer-moburg.jpg
Veg Moburg,veg-moburg.jpg
Cheese Corn Momos (Fried),cheese-corn-momos-fried.jpg
Cheese Corn Momos (Steamed),cheese-corn-momos-steamed.jpg
Chicken Momos (Fried),chicken-momos-fried.jpg
Chicken Momos (Steamed),chicken-momos-steamed.jpg
Paneer Momos (Fried),paneer-momos-fried.jpg
Paneer Momos (Steamed),paneer-momos-steamed.jpg
Veg Momos (Fried),veg-momos-fried.jpg
Veg Momos (Steamed),veg-momos-steamed.jpg
Bangkok Special Noodles (Chicken),bangkok-special-noodles-chicken.jpg
Bangkok Special Noodles (Paneer),bangkok-special-noodles-paneer.jpg
Bangkok Special Noodles (Veg),bangkok-special-noodles-veg.jpg
Butter Chilli Garlic Noodles (Chicken),butter-chilli-garlic-noodles-chicken.jpg
Butter Chilli Garlic Noodles (Paneer),butter-chilli-garlic-noodles-paneer.jpg
Butter Chilli Garlic Noodles (Veg),butter-chilli-garlic-noodles-veg.jpg
Chilli Garlic Noodles (Chicken),chilli-garlic-noodles-chicken.jpg
Chilli Garlic Noodles (Paneer),chilli-garlic-noodles-paneer.jpg
Chilli Garlic Noodles (Veg),chilli-garlic-noodles-veg.jpg
China Town Soggy Noodles (Chicken),china-town-soggy-noodles-chicken.jpg
China Town Soggy Noodles (Paneer),china-town-soggy-noodles-paneer.jpg
China Town Soggy Noodles (Veg),china-town-soggy-noodles-veg.jpg
Exotic Noodles (Chicken),exotic-noodles-chicken.jpg
Exotic Noodles (Paneer),exotic-noodles-paneer.jpg
Exotic Noodles (Veg),exotic-noodles-veg.jpg
Hakka Noodles (Chicken),hakka-noodles-chicken.jpg
Hakka Noodles (Paneer),hakka-noodles-paneer.jpg
Hakka Noodles (Veg),hakka-noodles-veg.jpg
Korean Noodles (Chicken),korean-noodles-chicken.jpg
Korean Noodles (Paneer),korean-noodles-paneer.jpg
Korean Noodles (Veg),korean-noodles-veg.jpg
